Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,45,3,819,-999.0,2.1913,1.9217,-0.26955,0.26955,1.2595,117
100,0,0,30,2,819,-999.0,1.6196,1.7845,0.16484,0.16484,0.86939,135
100,0,0,15,1,819,-999.0,0.41954,0.26625,-0.15329,0.15329,0.8009,138
100,0,0,30,2,819,-999.0,2.0777,2.157,0.079275,0.079275,1.0019,155
100,0,0,15,1,819,-999.0,1.7241,1.7277,0.0036187,0.0036187,2.364,190
100,0,0,45,3,819,-999.0,1.4892,0.86073,-0.62848,0.62848,1.0521,73
100,0,0,30,2,819,-999.0,0.28734,0.48722,0.19988,0.19988,1.053,129
100,0,0,30,2,819,-999.0,0.3365,1.2212,0.88469,0.88469,2.3029,50
100,0,0,30,2,819,-999.0,2.9174,2.8546,-0.062807,0.062807,0.88762,160
100,0,0,45,3,819,-999.0,2.3462,2.0197,-0.32651,0.32651,0.94328,109
100,0,0,45,3,819,-999.0,0.59236,1.3195,0.72711,0.72711,1.2994,64
100,0,0,15,1,819,-999.0,2.8237,2.8887,0.064997,0.064997,0.83046,159
100,0,0,15,1,819,-999.0,2.2538,2.1606,-0.093198,0.093198,0.76012,151
100,0,0,15,1,819,-999.0,0.55101,0.27785,-0.27316,0.27316,0.92477,117
100,0,0,15,1,819,-999.0,2.2951,2.3449,0.049746,0.049746,1.0294,164
100,0,0,15,1,819,-999.0,2.2642,2.3584,0.094181,0.094181,0.96602,151
100,0,0,30,2,819,-999.0,2.7887,2.5732,-0.21549,0.21549,1.091,126
100,0,0,15,1,819,-999.0,2.3719,2.3603,-0.011638,0.011638,0.72233,183
100,0,0,45,3,819,-999.0,2.3785,2.4261,0.047528,0.047528,0.89741,165
100,0,0,30,2,819,-999.0,0.7531,0.88421,0.13111,0.13111,0.80081,142
100,0,0,15,1,819,-999.0,2.6462,2.7648,0.11865,0.11865,0.69319,145
100,0,0,45,3,819,-999.0,0.41158,2.9062,-0.64701,0.64701,0.88181,72
100,0,0,45,3,819,-999.0,0.59656,1.1797,0.58311,0.58311,0.92763,78
100,0,0,15,1,819,-999.0,0.43176,0.31549,-0.11628,0.11628,0.84309,146
100,0,0,30,2,819,-999.0,1.5092,1.6249,0.11568,0.11568,1.1492,146
100,0,0,30,2,819,-999.0,2.0303,1.8504,-0.17985,0.17985,1.1168,132
100,0,0,45,3,819,-999.0,1.5908,1.8526,0.26182,0.26182,1.4275,118
100,0,0,30,2,819,-999.0,1.1924,0.99537,-0.19704,0.19704,1.0922,129
100,0,0,45,3,819,-999.0,2.8077,2.0839,-0.72385,0.72385,1.1208,64
100,0,0,45,3,819,-999.0,2.4539,2.0232,-0.43072,0.43072,1.7964,95
100,1,0,45,3,819,-999.0,1.3856,1.016,-0.36965,0.36965,0.80825,151
100,1,0,45,3,819,-999.0,2.2315,2.1098,-0.12169,0.12169,0.54978,172
100,1,0,15,1,819,-999.0,0.52166,0.53071,0.0090484,0.0090484,0.534,192
100,1,0,45,3,819,-999.0,2.1534,1.624,-0.52937,0.52937,0.67777,142
100,1,0,15,1,819,-999.0,1.4281,1.4425,0.01438,0.01438,0.52983,190
100,1,0,15,1,819,-999.0,2.4793,2.4324,-0.046911,0.046911,0.52596,183
100,1,0,45,3,819,-999.0,3.107,2.5996,-0.5073,0.5073,0.61252,143
100,1,0,45,3,819,-999.0,2.0575,1.5179,-0.53957,0.53957,0.6136,141
100,1,0,30,2,819,-999.0,0.6664,0.77921,0.11281,0.11281,0.60186,173
100,1,0,15,1,819,-999.0,2.0609,1.9039,-0.15697,0.15697,0.5176,168
100,1,0,30,2,819,-999.0,0.13866,0.1227,-0.015959,0.015959,0.65095,190
100,1,0,30,2,819,-999.0,2.1021,2.046,-0.056143,0.056143,0.67273,181
100,1,0,30,2,819,-999.0,1.6817,2.3881,0.70644,0.70644,0.60214,133
100,1,0,45,3,819,-999.0,2.7796,2.5207,-0.25887,0.25887,0.67163,159
100,1,0,15,1,819,-999.0,2.2722,2.3036,0.031373,0.031373,0.51689,186
100,1,0,45,3,819,-999.0,1.7765,1.4127,-0.3638,0.3638,0.84933,152
100,1,0,30,2,819,-999.0,0.83826,0.89889,0.06063,0.06063,1.1763,80
100,1,0,30,2,819,-999.0,0.71061,0.93692,0.22631,0.22631,0.55891,162
100,1,0,30,2,819,-999.0,2.8081,2.7943,-0.013788,0.013788,0.70509,191
100,1,0,15,1,819,-999.0,2.9718,3.0711,0.099318,0.099318,0.69624,175
100,1,0,15,1,819,-999.0,2.8427,2.9683,0.12554,0.12554,0.57531,172
100,1,0,15,1,819,-999.0,0.42565,0.46122,0.035566,0.035566,0.66634,185
100,1,0,45,3,819,-999.0,0.99475,1.3639,0.36914,0.36914,0.63089,152
100,1,0,30,2,819,-999.0,2.4114,2.1474,-0.26404,0.26404,0.61821,159
100,1,0,15,1,819,-999.0,2.1314,2.15,0.018514,0.018514,0.64379,189
100,1,0,30,2,819,-999.0,0.91527,1.273,0.35776,0.35776,0.76403,152
